,Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
267,vit,K80,TinyImageNet,89,2.4470592207544035
268,vit,K80,cifar100,89,1.4845932341095462
269,vit,K80,cifar10,89,0.6813899986945521
270,vit,K80,TinyImageNet,90,2.4916098532665405
271,vit,K80,cifar100,90,1.474923932810231
272,vit,K80,cifar10,90,0.6786352942337252
273,vit,K80,TinyImageNet,91,2.481384590387599
274,vit,K80,cifar100,91,1.4824681190123907
275,vit,K80,cifar10,91,0.6596839285590267
276,vit,K80,TinyImageNet,92,2.4853392722973977
277,vit,K80,cifar100,92,1.4344486302365895
278,vit,K80,cifar10,92,0.6558815490001946
279,vit,K80,TinyImageNet,93,2.4667600326393178
280,vit,K80,cifar100,93,1.4070466385632028
281,vit,K80,cifar10,93,0.6689490397856347
282,vit,K80,TinyImageNet,94,2.4655524901828136
283,vit,K80,cifar100,94,1.3967525791257278
284,vit,K80,cifar10,94,0.66672976532419
285,vit,K80,TinyImageNet,95,2.4577682485682697
286,vit,K80,cifar100,95,1.356470758047234
287,vit,K80,cifar10,95,0.668324022596153
288,vit,K80,TinyImageNet,96,2.456984735426532
289,vit,K80,cifar100,96,1.3668558100445714
290,vit,K80,cifar10,96,0.6577200880645068
291,vit,K80,TinyImageNet,97,2.4592956601170486
292,vit,K80,cifar100,97,1.322773983377625
293,vit,K80,cifar10,97,0.6667502113394475
294,vit,K80,TinyImageNet,98,2.4474612626562666
295,vit,K80,cifar100,98,1.3045890268334928
296,vit,K80,cifar10,98,0.6519944534704556
297,vit,K80,TinyImageNet,99,2.4376143946746702
298,vit,K80,cifar100,99,1.2934798714088405
299,vit,K80,cifar10,99,0.6680654270424304
300,vit,P100,TinyImageNet,0,4.43067917956848
301,vit,V100,TinyImageNet,0,4.730453665988116
302,vit,P100,TinyImageNet,1,4.270227935847689
303,vit,V100,TinyImageNet,1,4.563871321500651
304,vit,P100,TinyImageNet,2,4.119751432599371
305,vit,V100,TinyImageNet,2,4.382125700019689
306,vit,P100,TinyImageNet,3,4.037558622044692
307,vit,V100,TinyImageNet,3,4.265667601492225
308,vit,P100,TinyImageNet,4,3.8676449429330773
309,vit,V100,TinyImageNet,4,4.110294629636926
310,vit,P100,TinyImageNet,5,3.781308858378826
311,vit,V100,TinyImageNet,5,3.9902183533563833
312,vit,P100,TinyImageNet,6,3.6434863668281525
313,vit,V100,TinyImageNet,6,3.8570387947500446
314,vit,P100,TinyImageNet,7,3.5654771284706794
315,vit,V100,TinyImageNet,7,3.718258381378562
316,vit,P100,TinyImageNet,8,3.4704703827339687
317,vit,V100,TinyImageNet,8,3.6379020279832077
318,vit,P100,TinyImageNet,9,3.401022302902906
319,vit,V100,TinyImageNet,9,3.522117933470289
320,vit,P100,TinyImageNet,10,3.3260586007524995
321,vit,V100,TinyImageNet,10,3.4258834237449927
322,vit,P100,TinyImageNet,11,3.257028936975068
323,vit,V100,TinyImageNet,11,3.350301120672999
324,vit,P100,TinyImageNet,12,3.224033435734442
325,vit,V100,TinyImageNet,12,3.312705805902719
326,vit,P100,TinyImageNet,13,3.154652880731994
327,vit,V100,TinyImageNet,13,3.2030941278882894
328,vit,P100,TinyImageNet,14,3.0882003975998
329,vit,V100,TinyImageNet,14,3.1392418205494907
330,vit,P100,TinyImageNet,15,3.0153375899988077
331,vit,V100,TinyImageNet,15,3.0869536103670314
332,vit,P100,TinyImageNet,16,2.984756017883776
333,vit,V100,TinyImageNet,16,3.0365740362535765
334,vit,P100,TinyImageNet,17,2.949498378470203
335,vit,V100,TinyImageNet,17,2.9707967123410235
336,vit,P100,TinyImageNet,18,2.9163070346974043
337,vit,V100,TinyImageNet,18,2.9492207546409683
338,vit,P100,TinyImageNet,19,2.922035358385278
339,vit,V100,TinyImageNet,19,2.9313544955999946
340,vit,P100,TinyImageNet,20,2.8874818650348097
341,vit,V100,TinyImageNet,20,2.8618579566728255
342,vit,P100,TinyImageNet,21,2.844877985156953
343,vit,V100,TinyImageNet,21,2.8860743702065568
344,vit,P100,TinyImageNet,22,2.861831377789248
345,vit,V100,TinyImageNet,22,2.865123597881581
346,vit,P100,TinyImageNet,23,2.8218595009558425
347,vit,V100,TinyImageNet,23,2.8157184775075126
348,vit,P100,TinyImageNet,24,2.800907895796694
349,vit,V100,TinyImageNet,24,2.8139243330626855
350,vit,P100,TinyImageNet,25,2.835082780546854
351,vit,V100,TinyImageNet,25,2.8315996039540683
352,vit,P100,TinyImageNet,26,2.787621204910946
353,vit,V100,TinyImageNet,26,2.808377008066405
354,vit,P100,TinyImageNet,27,2.798197660356447
355,vit,V100,TinyImageNet,27,2.7770481462432537
356,vit,P100,TinyImageNet,28,2.7678537255101743
357,vit,V100,TinyImageNet,28,2.7844643822359254
358,vit,P100,TinyImageNet,29,2.728725732001256
359,vit,V100,TinyImageNet,29,2.7819412178236926
360,vit,P100,TinyImageNet,30,2.7548965913094126
361,vit,V100,TinyImageNet,30,2.769203368762786
362,vit,P100,TinyImageNet,31,2.7124142205781294
363,vit,V100,TinyImageNet,31,2.7845868056303695
364,vit,P100,TinyImageNet,32,2.7050268079068744
365,vit,V100,TinyImageNet,32,2.763306197617181
366,vit,P100,TinyImageNet,33,2.6763447980956854
367,vit,V100,TinyImageNet,33,2.7680171536817353
368,vit,P100,TinyImageNet,34,2.6645606065735747
369,vit,V100,TinyImageNet,34,2.7694443463378504
370,vit,P100,TinyImageNet,35,2.6204251016064655
371,vit,V100,TinyImageNet,35,2.7533263294092065
372,vit,P100,TinyImageNet,36,2.6058653246952956
373,vit,V100,TinyImageNet,36,2.759462100310887
374,vit,P100,TinyImageNet,37,2.600946315789296
375,vit,V100,TinyImageNet,37,2.7555954417469817
376,vit,P100,TinyImageNet,38,2.566436902564015
377,vit,V100,TinyImageNet,38,2.758114318461155
378,vit,P100,TinyImageNet,39,2.5586048164937996
379,vit,V100,TinyImageNet,39,2.7527057096846677
380,vit,P100,TinyImageNet,40,2.5568358279305214
381,vit,V100,TinyImageNet,40,2.725261053367611
382,vit,P100,TinyImageNet,41,2.5501111549240143
383,vit,V100,TinyImageNet,41,2.7163721393967584
384,vit,P100,TinyImageNet,42,2.4984613652093604
385,vit,V100,TinyImageNet,42,2.7483510095443835
